"Product title","Product variant title","Product variant SKU","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"MYVES 5 In 1 Immersion Blender - A2 | 800W with 18 Speeds and Turbo Mode Handheld Blender","White","A2-W",75,5088.9,-88.48,-76.95,4923.47,0,4923.47
"MYVES Electric Hand Mixer - X1 | 5 Accessories Hand Mixer Set","White","X1-W",104,3979.35,-22,0,3957.35,0,3957.35
"MYVES Multifunctional Blender - B2 | Powerful Blender & Crusher","Green","B2-G",33,2577.5,-418.37,0,2159.13,0,2159.13
"MYVES Electric Hand Mixer - X1 | 5 Accessories Hand Mixer Set","Green","X1-G",45,1795.8,-74.72,0,1721.08,0,1721.08
"Stainless Steel BBQ Tools Set -18 Pcs Grilling Essentials","Default Title",,19,1097.05,-47.07,0,1049.98,0,1049.98
"MYVES Multifunctional Blender - B2 | Powerful Blender & Crusher","White","B2-W",16,1032.8,0,0,1032.8,0,1032.8
"Over Sink Stainless Roll-Up Dish Drying Rack with Storage Basket","Gray",,18,836.1,-21.38,0,814.72,0,814.72
"3-in-1 Foldable Cutting Board and Wash Basin - for Kitchen & Camping","Gray",,20,552.7,-51.67,-24.22,476.81,0,476.81
"3-in-1 Manual Vegetable Slicer & Cheese Grater","Red",,11,425.25,-7.55,0,417.7,0,417.7
"Glass Food Storage Containers with Wood Lids","3 PCS set",,12,396.74,-6.11,-25.18,365.45,0,365.45
"Pumpkin Ceramic Bowl with Lid – Bowl Set for Festive Serving","White",,9,391.55,-51.93,0,339.62,0,339.62
"3 Pcs Silicone Muffins & Cupcakes Pan Set - Non-Stick Bakeware","3pcs",,15,334.15,0,0,334.15,0,334.15
"Silicone Ice Cream Pop Maker","Pink",,12,337,-29.97,0,307.03,0,307.03
"3-Tier Wooden Serving Tray – For Parties & Kitchen Storager","3-Layer",,6,333.42,-35.64,0,297.78,0,297.78
"MYVES Food Purification Box - P1 | Fruits and Vegetables Purifier","Green","4897125730037",4,319.8,-35.97,0,283.83,0,283.83
"Over Sink Stainless Roll-Up Dish Drying Rack with Storage Basket","Light Blue",,6,335.4,-25.97,-29.7,279.73,0,279.73
"Silicone Spatula Set of 6 - Heat Resistant Cooking Tools","Blue",,13,281.83,-1.48,-18.65,261.7,0,261.7
"Silicone Ice Cream Pop Maker","Green",,9,295.55,-37.15,0,258.4,0,258.4
"MYVES Food Purification Box - P1 | Fruits and Vegetables Purifier","White","4897125730020",3,239.85,-47.48,0,192.37,0,192.37
"Pumpkin Ceramic Bowl with Lid – Bowl Set for Festive Serving","Pumpkin",,5,189.75,-13.19,0,176.56,0,176.56
"Silicone Ice Cream Pop Maker","Blue",,5,181.7,-9.58,-45.95,126.17,0,126.17
"Silicone Spatula Set of 6 - Heat Resistant Cooking Tools","Black",,6,122.1,0,0,122.1,0,122.1
"3-in-1 Manual Vegetable Slicer & Cheese Grater","Blue",,3,157,-7.95,-37.75,111.3,0,111.3
"3-in-1 Foldable Cutting Board and Wash Basin - for Kitchen & Camping","Green",,4,98.8,0,0,98.8,0,98.8
"Leak-Proof Bento Lunch Box - 4 Compartment Container with Fork","Dark Blue",,4,89.05,0,0,89.05,0,89.05
"Silicone Ice Cream Pop Maker","Gray",,3,93.85,-7.18,0,86.67,0,86.67
"Silicone Spatula Set of 6 - Heat Resistant Cooking Tools","Oyster Suger",,4,77.66,0,0,77.66,0,77.66
"Multi-Functional Salad Spinner & Vegetable Slicer","Upgraded Set-Green",,2,71.3,0,0,71.3,0,71.3
"Silicone Ice Cream Pop Maker","Blue Animal styling",,2,73.9,-5.59,0,68.31,0,68.31
"Pumpkin Ceramic Bowl with Lid – Bowl Set for Festive Serving","Red",,2,67.9,0,0,67.9,0,67.9
"Silicone Spatula Set of 6 - Heat Resistant Cooking Tools","Pink",,3,81.4,0,-18.65,62.75,0,62.75
"Stainless Steel French Press - Double Insulated Coffee Maker","34oz",,1,50.95,0,0,50.95,0,50.95
"Leak-Proof Bento Lunch Box - 4 Compartment Container with Fork","Light Blue",,2,82.95,-5.24,-29.71,48,0,48
"Silicone Ice Cream Pop Maker","Green Animal styling",,2,47.9,0,0,47.9,0,47.9
"Leak-Proof Bento Lunch Box - 4 Compartment Container with Fork","Pink",,2,45.8,0,0,45.8,0,45.8
"Sealed Pickles Jar with Fork & Wet-Dry Separator","White",,2,40.7,0,0,40.7,0,40.7
"3-in-1 Manual Vegetable Slicer & Cheese Grater","Green",,1,39.75,0,0,39.75,0,39.75
"Non-Stick Silicone Bread Proofing Basket Set - Home Baking","Green - Round Shape",,1,36.5,0,0,36.5,0,36.5
"Christmas Coffee Tea Spoons Set - 4 Pcs Stainless Steel","Gold",,2,29.96,0,0,29.96,0,29.96
"Holiday Wooden Serving Platters - Snack & Cake Tray","Round Plate",,2,27.5,0,0,27.5,0,27.5
"Halloween Gifts 40oz Tumbler with Lid - Funny Print Travel Mug","Halloween Black",,1,25.45,0,0,25.45,0,25.45
"Silicone Anti-scalding Oven Gloves","Green",,2,27.9,-2.8,0,25.1,0,25.1
"Silicone Ice Cream Pop Maker","Pink Animal styling",,1,23.95,0,0,23.95,0,23.95
"Silicone Spatula Set of 6 - Heat Resistant Cooking Tools","Red",,1,22.05,0,0,22.05,0,22.05
"Holiday Wooden Serving Platters - Snack & Cake Tray","Christmas Tree",,2,21.72,0,0,21.72,0,21.72
"Personal Blender Jar Accessory for MYVES-B2","White",,1,19.95,0,0,19.95,0,19.95
"Clear Refrigerator Organizer Bin","Clear",,1,22.12,-4.42,0,17.7,0,17.7
"Holiday Wooden Serving Platters - Snack & Cake Tray","Santa Tree",,1,16.95,0,0,16.95,0,16.95
"Christmas Coffee Tea Spoons Set - 4 Pcs Stainless Steel","Silver",,1,16.68,0,0,16.68,0,16.68
"Double Drain Basket – Convenient Fruit & Veg Strainer","Beige",,1,16.65,0,0,16.65,0,16.65
"Halloween Silicone Baking Mold - Skull, Bat, & pumpkin Designs","Halloween-Themed",,1,11,0,0,11,0,11
